Time/s,True_SOC,50,100,200,300
0,0.6222,0.627732158,0.629205465,0.627626061,0.615641236
1,0.62234,0.627762794,0.629178345,0.627717376,0.61566478
2,0.62247,0.627794921,0.629147708,0.627809048,0.615575373
3,0.62261,0.627832234,0.629127741,0.62789166,0.6154266
4,0.62274,0.627889216,0.629128337,0.627987862,0.615184307
5,0.62288,0.627955675,0.629166484,0.628062785,0.615036726
6,0.62301,0.628037035,0.629241705,0.628159761,0.615028203
7,0.62314,0.628132284,0.629346013,0.628306329,0.615076602
8,0.62328,0.628242612,0.629471183,0.628487825,0.615094066
9,0.62341,0.628359795,0.629617572,0.628653049,0.615169942
10,0.62355,0.628478885,0.629780531,0.628805518,0.615367413
11,0.62368,0.628604293,0.629949152,0.628973424,0.615614951
12,0.62382,0.628735483,0.630115509,0.629153311,0.615818024
13,0.62395,0.62887615,0.630277455,0.629326999,0.615909994
14,0.62409,0.629019201,0.630443871,0.629453361,0.616016209
15,0.62422,0.629167914,0.630616426,0.629563451,0.616178691
16,0.62435,0.629323125,0.630792499,0.629686296,0.616355181
17,0.62449,0.629478276,0.630970061,0.629814744,0.616557062
18,0.62462,0.629632294,0.631144345,0.629950404,0.616792142
19,0.62476,0.629775465,0.631311297,0.630089462,0.617087305
20,0.62489,0.629910529,0.631462216,0.63024801,0.617374659
21,0.62503,0.630032957,0.631594777,0.630404651,0.617653549
22,0.62516,0.630145431,0.631706655,0.63055867,0.61789465
23,0.62529,0.63024497,0.631800413,0.63069731,0.618115842
24,0.62543,0.630333304,0.631877542,0.630823314,0.618330419
25,0.62556,0.63040936,0.63193959,0.63094461,0.618530989
26,0.6257,0.630477369,0.631987274,0.631066859,0.618692219
27,0.62583,0.630544603,0.632022858,0.631199062,0.618729055
28,0.62597,0.630612791,0.632057428,0.631309867,0.618693531
29,0.6261,0.630691528,0.632099867,0.631414056,0.618588388
30,0.62624,0.630779207,0.632162631,0.6315009,0.618517339
31,0.62637,0.630872071,0.632249951,0.631586492,0.618586242
32,0.6265,0.6309641,0.632354498,0.631706655,0.618781865
33,0.62664,0.631052911,0.632463694,0.631871283,0.6190148
34,0.62677,0.631133497,0.632568836,0.632048428,0.619270861
35,0.62691,0.631210506,0.632662296,0.632233202,0.619476199
36,0.62704,0.631288469,0.632744789,0.632407069,0.61957407
37,0.62718,0.631371677,0.6328246,0.63254714,0.619584262
38,0.62731,0.631454587,0.632913053,0.632638812,0.61965096
39,0.62745,0.631559134,0.633008182,0.632754922,0.61964047
40,0.62758,0.631677806,0.633119881,0.632866144,0.619578958
41,0.62771,0.631816447,0.633253038,0.632977426,0.619484305
42,0.62785,0.631969452,0.633415222,0.633079767,0.619453251
43,0.62798,0.632143795,0.63360405,0.633206129,0.619462848
44,0.62812,0.63233614,0.633817136,0.633354425,0.61949569
45,0.62825,0.632537305,0.634052813,0.63350147,0.619627535
46,0.62839,0.632749438,0.634301126,0.633670986,0.619808614
47,0.62852,0.632962167,0.634556174,0.633839607,0.620077491
48,0.62866,0.63317275,0.634807348,0.634016454,0.620406508
49,0.62879,0.633372605,0.635046244,0.634190977,0.620794952
50,0.62892,0.633556247,0.635263383,0.634362161,0.621224761
51,0.62906,0.633717716,0.63545084,0.634525001,0.621686339
52,0.62919,0.633857429,0.635600686,0.634686947,0.622116923
53,0.62933,0.633977115,0.63571018,0.634845316,0.622434378
54,0.62946,0.634084642,0.635784447,0.634982169,0.62261188
55,0.6296,0.634180367,0.635836303,0.635083675,0.622697592
56,0.62973,0.634271562,0.635876775,0.635167778,0.622714877
57,0.62986,0.634368718,0.635916233,0.635257185,0.62263459
58,0.63,0.634475648,0.635967851,0.635341585,0.62250942
59,0.63013,0.634589851,0.636042058,0.635421991,0.622436404
60,0.63027,0.634713292,0.636140108,0.635528564,0.622415423
61,0.6304,0.634850025,0.636259496,0.635672331,0.622386932
62,0.63054,0.634994745,0.636401534,0.635820329,0.622399449
63,0.63067,0.635151327,0.636562943,0.635976493,0.622456253
64,0.63081,0.635323822,0.636739612,0.63615191,0.62247467
65,0.63094,0.635507405,0.636934698,0.63631016,0.622503459
66,0.63107,0.635710597,0.637146771,0.636467636,0.622507453
67,0.63121,0.635931194,0.637380242,0.636609495,0.622524321
68,0.63134,0.636172295,0.63763535,0.636749923,0.622547865
69,0.63148,0.636419237,0.637915432,0.636865139,0.622722685
70,0.63161,0.636665225,0.638209343,0.636991918,0.623095453
71,0.63175,0.636912942,0.638495266,0.63718307,0.623472214
72,0.63188,0.637152851,0.638764203,0.63738668,0.623803616
73,0.63202,0.637382627,0.639012098,0.637571812,0.624098957
74,0.63215,0.637600422,0.639239848,0.637726247,0.624408126
75,0.63228,0.637809217,0.639445961,0.637872338,0.624701321
