Time/s,True_SOC,UKF_SOC,UKF_errors
1,0.61503,0.61851,0.00348
2,0.61517,0.61861,0.00344
3,0.6153,0.61866,0.00336
4,0.61544,0.61886,0.00342
5,0.61557,0.61883,0.00326
6,0.61571,0.61877,0.00306
7,0.61584,0.61897,0.00313
8,0.61597,0.61911,0.00314
9,0.61611,0.61922,0.00311
10,0.61624,0.61926,0.00302
11,0.61638,0.61945,0.00307
12,0.61651,0.61964,0.00313
13,0.61665,0.61986,0.00321
14,0.61678,0.61994,0.00316
15,0.61692,0.62015,0.00323
16,0.61705,0.62028,0.00323
17,0.61718,0.6204,0.00322
18,0.61732,0.62061,0.00329
19,0.61745,0.62082,0.00337
20,0.61759,0.62087,0.00328
21,0.61772,0.62101,0.00329
22,0.61786,0.62114,0.00328
23,0.61799,0.62123,0.00324
24,0.61813,0.62144,0.00331
25,0.61826,0.62152,0.00326
26,0.61839,0.62163,0.00324
27,0.61853,0.62172,0.00319
28,0.61866,0.62195,0.00329
29,0.6188,0.62199,0.00319
30,0.61893,0.62207,0.00314
31,0.61907,0.62223,0.00316
32,0.6192,0.62236,0.00316
33,0.61934,0.62253,0.00319
34,0.61947,0.62262,0.00315
35,0.6196,0.62271,0.00311
36,0.61974,0.62288,0.00314
37,0.61987,0.62299,0.00312
38,0.62001,0.6231,0.00309
39,0.62014,0.62326,0.00312
40,0.62028,0.62349,0.00321
41,0.62041,0.62358,0.00317
42,0.62054,0.62377,0.00323
43,0.62068,0.62388,0.0032
44,0.62081,0.62396,0.00315
45,0.62095,0.62416,0.00321
46,0.62108,0.62419,0.00311
47,0.62122,0.62424,0.00302
48,0.62135,0.62424,0.00289
49,0.62149,0.6243,0.00281
50,0.62162,0.62436,0.00274
51,0.62175,0.62455,0.0028
52,0.62189,0.62473,0.00284
53,0.62202,0.62486,0.00284
54,0.62216,0.62492,0.00276
55,0.62229,0.62496,0.00267
56,0.62243,0.62513,0.0027
57,0.62256,0.62528,0.00272
58,0.6227,0.62543,0.00273
59,0.62283,0.62555,0.00272
60,0.62296,0.62576,0.0028
61,0.6231,0.62595,0.00285
62,0.62323,0.62616,0.00293
63,0.62337,0.62638,0.00301
64,0.6235,0.62663,0.00313
65,0.62364,0.6268,0.00316
66,0.62377,0.62691,0.00314
67,0.6239,0.62699,0.00309
68,0.62404,0.62722,0.00318
69,0.62417,0.62731,0.00314
70,0.62431,0.62745,0.00314
71,0.62444,0.62754,0.0031
72,0.62458,0.62769,0.00311
73,0.62471,0.62788,0.00317
74,0.62485,0.62804,0.00319
75,0.62498,0.62813,0.00315
76,0.62511,0.6283,0.00319
77,0.62525,0.6285,0.00325
78,0.62538,0.62858,0.0032
79,0.62552,0.62885,0.00333
80,0.62565,0.62895,0.0033
81,0.62579,0.6291,0.00331
82,0.62592,0.62924,0.00332
83,0.62606,0.62939,0.00333
84,0.62619,0.62959,0.0034
85,0.62632,0.62973,0.00341
86,0.62646,0.62987,0.00341
87,0.62659,0.63016,0.00357
88,0.62673,0.63033,0.0036
89,0.62686,0.63052,0.00366
90,0.627,0.63061,0.00361
91,0.62713,0.63064,0.00351
92,0.62727,0.63074,0.00347
93,0.6274,0.63071,0.00331
94,0.62753,0.63074,0.00321
95,0.62767,0.63085,0.00318
96,0.6278,0.631,0.0032
97,0.62794,0.63109,0.00315
98,0.62807,0.63118,0.00311
99,0.62821,0.63132,0.00311
100,0.62834,0.63143,0.00309
101,0.62847,0.63155,0.00308
102,0.62861,0.63163,0.00302
103,0.62874,0.63174,0.003
104,0.62888,0.63181,0.00293
105,0.62901,0.63188,0.00287
106,0.62915,0.63197,0.00282
107,0.62928,0.63221,0.00293
108,0.62942,0.63242,0.003
109,0.62955,0.63262,0.00307
110,0.62968,0.63272,0.00304
111,0.62982,0.63277,0.00295
112,0.62995,0.63289,0.00294
113,0.63009,0.63319,0.0031
114,0.63022,0.63338,0.00316
115,0.63036,0.63358,0.00322
116,0.63049,0.63368,0.00319
117,0.63063,0.63381,0.00318
118,0.63076,0.63394,0.00318
119,0.63089,0.63403,0.00314
120,0.63103,0.63422,0.00319
121,0.63116,0.63426,0.0031
122,0.6313,0.6345,0.0032
