t,ture_soc,EKF_wucha,UKF_wucha
0,0.5,-0.099783,-0.099802
0.011963,0.5,-0.099785,-0.099804
0.035888,0.5,-0.099788,-0.099807
0.10294,0.49999,-0.099797,-0.099816
0.25436,0.49997,-0.099817,-0.099836
0.76311,0.4999,-0.099885,-0.099904
1,0.49987,-0.099782,-0.099801
1.0286,0.49986,-0.099786,-0.099805
1.0857,0.49986,-0.099794,-0.099812
1.2013,0.49984,-0.099809,-0.099828
1.4496,0.49981,-0.099842,-0.099861
2,0.49973,-0.099822,-0.099776
2.0415,0.49973,-0.099828,-0.099782
2.1244,0.49972,-0.099839,-0.099793
2.2912,0.4997,-0.099861,-0.099815
2.6474,0.49965,-0.099909,-0.099862
3,0.4996,-0.099673,-0.099912
3.0524,0.49959,-0.09968,-0.099919
3.1571,0.49958,-0.099694,-0.099933
3.3668,0.49955,-0.099722,-0.099961
3.8139,0.49949,-0.099781,-0.10002
4,0.49947,-0.099704,-0.099849
4.0624,0.49946,-0.099712,-0.099857
4.1871,0.49944,-0.099729,-0.099874
4.436,0.49941,-0.099762,-0.099907
5,0.49933,-0.0997,-0.099868
5.0714,0.49933,-0.099709,-0.099877
5.2143,0.49931,-0.099728,-0.099896
5.4999,0.49927,-0.099766,-0.099934
6,0.4992,-0.099699,-0.099857
6.0806,0.49919,-0.09971,-0.099868
6.2419,0.49917,-0.099731,-0.099889
6.5641,0.49913,-0.099774,-0.099932
7,0.49907,-0.099687,-0.099799
7.0898,0.49906,-0.099699,-0.099811
7.2694,0.49903,-0.099723,-0.099835
7.628,0.49898,-0.099771,-0.099883
8,0.49894,-0.099689,-0.099801
8.0991,0.49892,-0.099702,-0.099814
8.2972,0.4989,-0.099728,-0.09984
8.6924,0.49884,-0.099781,-0.099893
9,0.4988,-0.09966,-0.099746
9.1084,0.49879,-0.099675,-0.099761
9.3253,0.49876,-0.099704,-0.09979
9.7577,0.4987,-0.099761,-0.099847
10,0.49867,-0.099688,-0.099786
10.118,0.49865,-0.099704,-0.099801
10.354,0.49862,-0.099735,-0.099833
10.825,0.49856,-0.099798,-0.099895
11,0.49854,-0.099598,-0.099673
11.128,0.49852,-0.099615,-0.09969
11.384,0.49848,-0.099649,-0.099724
11.893,0.49842,-0.099717,-0.099792
12,0.4984,-0.09966,-0.099741
12.138,0.49838,-0.099678,-0.099759
12.414,0.49835,-0.099715,-0.099796
13,0.49827,-0.099632,-0.099712
13.147,0.49825,-0.099652,-0.099732
13.442,0.49821,-0.099691,-0.099771
14,0.49814,-0.099634,-0.099713
14.158,0.49812,-0.099655,-0.099734
14.474,0.49807,-0.099697,-0.099776
15,0.498,-0.099594,-0.099679
15.169,0.49798,-0.099617,-0.099702
15.508,0.49794,-0.099662,-0.099747
16,0.49787,-0.099543,-0.099639
16.181,0.49785,-0.099567,-0.099663
16.543,0.4978,-0.099615,-0.099711
17,0.49774,-0.099669,-0.099735
17.193,0.49771,-0.099695,-0.09976
17.579,0.49766,-0.099746,-0.099812
18,0.4976,-0.099641,-0.099713
18.206,0.49758,-0.099668,-0.09974
18.617,0.49752,-0.099723,-0.099795
19,0.49747,-0.099655,-0.099722
19.219,0.49744,-0.099684,-0.099751
19.657,0.49738,-0.099742,-0.09981
20,0.49734,-0.099603,-0.099687
20.233,0.49731,-0.099634,-0.099718
20.698,0.49725,-0.099696,-0.09978
21,0.49721,-0.099566,-0.099662
21.247,0.49717,-0.099599,-0.099695
21.742,0.49711,-0.099664,-0.099761
22,0.49707,-0.099551,-0.099652
22.262,0.49704,-0.099586,-0.099687
22.787,0.49697,-0.099656,-0.099757
23,0.49694,-0.099523,-0.099634
23.3,0.4969,-0.099563,-0.099674
23.9,0.49682,-0.099643,-0.099754
24,0.49681,-0.099476,-0.099604
24.5,0.49674,-0.099543,-0.099671
25,0.49667,-0.099488,-0.099612
25.3,0.49663,-0.099528,-0.099651
25.9,0.49655,-0.099608,-0.099731
26,0.49654,-0.099534,-0.099641
26.5,0.49647,-0.099601,-0.099707
27,0.49641,-0.09948,-0.099606
27.3,0.49637,-0.09952,-0.099646
27.9,0.49629,-0.0996,-0.099725
28,0.49627,-0.099485,-0.099609
28.5,0.49621,-0.099551,-0.099675
29,0.49614,-0.099393,-0.09955
30,0.49601,-0.099402,-0.099556
31,0.49587,-0.099483,-0.099612
32,0.49574,-0.099508,-0.099628
33,0.49561,-0.099489,-0.099614
34,0.49547,-0.099558,-0.099664
35,0.49534,-0.099595,-0.099691
36,0.49521,-0.099675,-0.099752
37,0.49508,-0.09968,-0.099755
38,0.49494,-0.099699,-0.09977
39,0.49481,-0.099698,-0.099768
40,0.49468,-0.099711,-0.099779
41,0.49454,-0.099636,-0.099715
42,0.49441,-0.099664,-0.09974
43,0.49428,-0.099635,-0.099714
44,0.49414,-0.099631,-0.099709
45,0.49401,-0.099598,-0.099678
46,0.49388,-0.09953,-0.099612
47,0.49374,-0.099544,-0.099626
48,0.49361,-0.099538,-0.099619
49,0.49348,-0.099513,-0.099593
50,0.49335,-0.099721,-0.099663
50.316,0.49335,-0.099721,-0.099663
51,0.49335,-0.099711,-0.099656
51.336,0.49335,-0.099711,-0.099656
52,0.49335,-0.099766,-0.099679
52.357,0.49335,-0.099766,-0.099679
53,0.49335,-0.099654,-0.09962
53.381,0.49335,-0.099654,-0.09962
54,0.49335,-0.099653,-0.099619
54.407,0.49335,-0.099653,-0.099619
55,0.49335,-0.099552,-0.09955
55.435,0.49335,-0.099552,-0.09955
56,0.49335,-0.099628,-0.099609
56.466,0.49335,-0.099628,-0.099609
57,0.49335,-0.099647,-0.099624
57.501,0.49335,-0.099647,-0.099624
58,0.49335,-0.099534,-0.099515
58.54,0.49335,-0.099534,-0.099515
59,0.49335,-0.099525,-0.099502
59.586,0.49335,-0.099525,-0.099502
60,0.49335,-0.099478,-0.099441
60.642,0.49335,-0.099478,-0.099441
61,0.49335,-0.099498,-0.099469
61.714,0.49335,-0.099498,-0.099469
62,0.49335,-0.099476,-0.099432
62.82,0.49335,-0.099476,-0.099432
63,0.49335,-0.099436,-0.099357
63.9,0.49335,-0.099436,-0.099357
64,0.49335,-0.099449,-0.099382
64.498,0.49335,-0.099449,-0.099382
65,0.49335,-0.099448,-0.09938
65.778,0.49335,-0.099448,-0.09938
66,0.49335,-0.099468,-0.099437
67,0.49335,-0.099471,-0.099449
68,0.49335,-0.099479,-0.099475
69,0.49335,-0.099494,-0.099544
70,0.49335,-0.099494,-0.099551
71,0.49335,-0.099497,-0.099566
72,0.49335,-0.099489,-0.099528
73,0.49335,-0.099479,-0.099465
74,0.49335,-0.099478,-0.099446
75,0.49335,-0.099479,-0.099453
76,0.49335,-0.099485,-0.099528
77,0.49335,-0.099483,-0.099533
78,0.49335,-0.099477,-0.099482
79,0.49335,-0.099482,-0.099557
80,0.49335,-0.099474,-0.099498
81,0.49335,-0.099475,-0.099487
82,0.49335,-0.099475,-0.099483
83,0.49335,-0.099476,-0.09951
84,0.49335,-0.099476,-0.099537
85,0.49335,-0.099472,-0.099503
86,0.49335,-0.099473,-0.099495
87,0.49335,-0.099473,-0.099519
88,0.49335,-0.099468,-0.099463
89,0.49335,-0.099465,-0.099398
90,0.49335,-0.099463,-0.099339
91,0.49335,-0.09946,-0.099277
92,0.49335,-0.099462,-0.099285
93,0.49335,-0.099464,-0.099341
94,0.49335,-0.099463,-0.099396
95,0.49335,-0.099461,-0.099382
96,0.49335,-0.099458,-0.099347
97,0.49335,-0.099458,-0.099332
98,0.49335,-0.099451,-0.099267
99,0.49335,-0.099454,-0.099286
100,0.49335,-0.099508,-0.099197
100.14,0.49334,-0.099517,-0.099206
100.41,0.49332,-0.099535,-0.099224
100.93,0.49329,-0.099567,-0.099257
101,0.49328,-0.099491,-0.099232
101.11,0.49327,-0.099499,-0.09924
101.33,0.49326,-0.099513,-0.099254
101.83,0.49323,-0.099544,-0.099285
102,0.49322,-0.099511,-0.099184
102.14,0.49321,-0.09952,-0.099193
102.42,0.49319,-0.099538,-0.099211
103,0.49315,-0.099513,-0.099183
103.15,0.49314,-0.099523,-0.099192
103.44,0.49313,-0.099541,-0.099211
104,0.49309,-0.099523,-0.099147
104.15,0.49308,-0.099533,-0.099157
104.46,0.49306,-0.099553,-0.099177
105,0.49303,-0.099512,-0.099197
105.16,0.49302,-0.099522,-0.099207
105.49,0.493,-0.099543,-0.099228
106,0.49296,-0.099513,-0.099174
106.17,0.49295,-0.099524,-0.099185
106.52,0.49293,-0.099546,-0.099207
107,0.4929,-0.099513,-0.099182
107.18,0.49289,-0.099525,-0.099193
107.54,0.49286,-0.099548,-0.099216
108,0.49284,-0.099513,-0.099157
108.19,0.49282,-0.099526,-0.099169
108.57,0.4928,-0.09955,-0.099194
109,0.49277,-0.099514,-0.099141
109.2,0.49276,-0.099526,-0.099154
109.61,0.49273,-0.099552,-0.09918
110,0.49271,-0.099513,-0.099132
110.21,0.49269,-0.099527,-0.099146
110.64,0.49267,-0.099554,-0.099173
111,0.49264,-0.099511,-0.099112
111.22,0.49263,-0.099525,-0.099126
111.67,0.4926,-0.099554,-0.099155
112,0.49258,-0.099498,-0.099043
112.24,0.49256,-0.099514,-0.099059
112.71,0.49253,-0.099544,-0.099089
113,0.49252,-0.099514,-0.09913
113.25,0.4925,-0.09953,-0.099146
113.75,0.49247,-0.099562,-0.099178
114,0.49245,-0.099506,-0.099103
114.26,0.49244,-0.099522,-0.09912
114.79,0.4924,-0.099556,-0.099154
115,0.49239,-0.09952,-0.099157
115.3,0.49237,-0.099539,-0.099176
